Gender,AGE,Do you invest in Investment Avenues?,Preference rank for MUTUAL FUNDS investment,Preference rank for EQUITY MARKET investment,Preference rank for DEBENTURES investment,Preference rank for GOVERNMENT BONDS investment,Preference rank for FIXED DEPOSITS investment,Preference rank for PUBLIC PROVIDENT FUND investment,Preference rank for GOLD investment,Do you invest in Stock Market?,What are the factors considered by you while investing in any instrument?,What is your investment objective?,What is your purpose behind investment?,How long do you prefer to keep your money in any investment instrument?,How often do you monitor your investment?,How much return do you expect from any investment instrument?,Which investment avenue do you mostly invest in?,What are your savings objectives?,Reasons for investing in Equity Market,Reasons for investing in Mutual Funds,Reasons for investing in Government Bonds,Reasons for investing in Fixed Deposits,Your sources of information for investments is,Age_Group
Male,25,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Male,21,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,18-24
Male,28,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Male,28,Yes,4,5,1,2,7,3,6,No,Returns,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,25-34
Female,32,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,3-5 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,25-34
Female,34,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Male,29,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,25-34
Female,23,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,18-24
Male,27,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Monthly,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,25-34
Male,25,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,25-34
Male,25,Yes,4,5,1,2,7,3,6,No,Returns,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,25-34
Female,26,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,25-34
Male,30,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Female,30,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Male,22,Yes,2,1,3,5,6,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,18-24
Male,28,Unknown,2,5,7,6,3,1,4,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Unknown,Financial Consultants,25-34
Male,28,Yes,2,3,6,5,1,4,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,25-34
Female,26,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,Unknown,Equity,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,High Interest Rates,Financial Consultants,25-34
Male,22,Unknown,2,4,6,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,18-24
Male,32,Yes,2,4,7,5,4,1,6,Yes,Returns,Unknown,Wealth Creation,3-5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Male,31,Yes,2,3,6,5,4,1,7,Yes,Unknown,Capital Appreciation,Wealth Creation,1-3 years,Unknown,20%-30%,Mutual Fund,Unknown,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Male,20,Yes,2,3,7,4,6,1,5,Yes,Risk,Unknown,Wealth Creation,Unknown,Monthly,20%-30%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,18-24
Female,23,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,18-24
Female,20,No,7,5,4,5,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Unknown,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,18-24
Male,27,Yes,2,4,1,2,7,3,6,No,Unknown,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,25-34
Female,23,Yes,4,3,2,1,5,6,7,No,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Health Care,Dividend,Better Returns,Unknown,High Interest Rates,Financial Consultants,18-24
Female,23,Yes,2,4,5,5,4,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,Unknown,Monthly,20%-30%,Equity,Unknown,Capital Appreciation,Better Returns,Unknown,Risk Free,Newspapers and Magazines,18-24
Male,28,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Unknown,Better Returns,Unknown,Fixed Returns,Financial Consultants,25-34
Unknown,29,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Unknown,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Female,38,Unknown,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Unknown,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Newspapers and Magazines,35-44
Unknown,26,Yes,3,4,4,2,5,1,7,Unknown,Returns,Unknown,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Unknown,High Interest Rates,Financial Consultants,25-34
Male,24,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Public Provident Fund,Unknown,Liquidity,Unknown,Assured Returns,Risk Free,Financial Consultants,18-24
Male,32,Yes,3,2,6,4,4,1,6,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Unknown,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Unknown,35,Yes,2,4,6,5,3,1,6,Yes,Returns,Growth,Unknown,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,35-44
Male,25,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Unknown,3-5 years,Monthly,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,25-34
Male,31,Yes,2,3,7,6,4,1,5,Yes,Unknown,Unknown,Savings for Future,1-3 years,Unknown,20%-30%,Fixed Deposits,Health Care,Unknown,Fund Diversification,Safe Investment,Fixed Returns,Television,25-34
Female,24,Unknown,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,18-24
Male,28,Unknown,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Male,27,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,30%-40%,Unknown,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Unknown,Newspapers and Magazines,25-34
Female,24,Unknown,4,3,2,5,5,6,7,No,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,18-24
Unknown,29,Yes,2,4,6,5,4,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Female,24,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,18-24
Unknown,28,Yes,2,4,5,6,4,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Unknown,Unknown,Risk Free,Newspapers and Magazines,25-34
Male,28,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Fixed Returns,Financial Consultants,25-34
Male,28,Yes,2,4,6,7,4,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Unknown,25-34
Male,28,Yes,4,5,1,2,7,3,6,Unknown,Returns,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,25-34
Male,28,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Male,28,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Unknown,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Unknown,Risk Free,Unknown,25-34
Female,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Female,24,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,18-24
Female,28,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Female,22,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Liquidity,Unknown,Safe Investment,Risk Free,Internet,18-24
Female,34,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,Unknown,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,25-34
Female,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Unknown,Savings for Future,Unknown,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Female,28,Yes,3,2,7,5,4,1,6,Yes,Risk,Unknown,Wealth Creation,1-3 years,Monthly,20%-30%,Unknown,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,25-34
Male,27,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Unknown,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Unknown,28,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Unknown,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,25-34
Male,18,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Unknown,Capital Appreciation,Better Returns,Unknown,Risk Free,Newspapers and Magazines,18-24
Unknown,22,Yes,2,4,6,5,4,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Unknown,Better Returns,Assured Returns,Unknown,Financial Consultants,18-24
Male,28,Yes,2,4,7,5,4,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Unknown,Newspapers and Magazines,25-34
Female,35,Yes,3,4,6,5,1,2,6,Yes,Risk,Growth,Wealth Creation,3-5 years,Unknown,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Financial Consultants,35-44
Female,23,Yes,2,3,6,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Unknown,Health Care,Dividend,Unknown,Assured Returns,Risk Free,Unknown,18-24
Female,24,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,18-24
Male,32,Yes,3,2,7,4,5,1,6,Yes,Unknown,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,25-34
Female,30,Unknown,1,2,5,5,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Fixed Returns,Newspapers and Magazines,25-34
Male,35,Yes,1,4,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Unknown,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Fixed Returns,Newspapers and Magazines,35-44
Female,20,Yes,4,4,2,5,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,20%-30%,Mutual Fund,Unknown,Dividend,Better Returns,Safe Investment,Unknown,Financial Consultants,18-24
Female,19,Unknown,1,2,3,5,5,6,7,No,Returns,Capital Appreciation,Savings for Future,1-3 years,Weekly,Unknown,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet,18-24
Female,24,Yes,2,4,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,18-24
Female,35,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Unknown,Unknown,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,35-44
Male,32,Yes,4,3,5,7,2,1,6,Unknown,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Male,24,Yes,5,4,7,6,4,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,Unknown,30%-40%,Public Provident Fund,Health Care,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,18-24
Male,28,Yes,3,4,6,4,5,1,6,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,Unknown,Mutual Fund,Unknown,Capital Appreciation,Unknown,Assured Returns,Risk Free,Unknown,25-34
Male,33,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Fixed Returns,Television,25-34
Male,25,Yes,4,5,1,2,7,3,6,No,Returns,Unknown,Wealth Creation,1-3 years,Unknown,Unknown,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,25-34
Female,31,Yes,3,4,6,5,4,1,6,Yes,Risk,Unknown,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Unknown,Assured Returns,Unknown,Television,25-34
Unknown,37,Yes,5,4,3,5,7,1,6,Unknown,Returns,Income,Unknown,3-5 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Newspapers and Magazines,35-44
Male,28,Unknown,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Male,31,Yes,3,2,7,4,5,1,6,Unknown,Unknown,Capital Appreciation,Wealth Creation,1-3 years,Monthly,Unknown,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Female,22,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Unknown,1-3 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,18-24
Female,24,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,Unknown,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,18-24
Male,22,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,30%-40%,Public Provident Fund,Health Care,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,18-24
Male,25,Yes,2,3,6,5,1,4,7,Yes,Returns,Unknown,Wealth Creation,Unknown,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,25-34
Female,26,Yes,3,6,4,2,5,1,7,Yes,Returns,Unknown,Wealth Creation,3-5 years,Unknown,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Unknown,25-34
Female,22,No,7,4,4,6,3,1,6,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Unknown,Fund Diversification,Unknown,Risk Free,Internet,18-24
Female,21,No,2,1,6,6,4,1,6,No,Returns,Unknown,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Risk Free,Internet,18-24
Male,30,Yes,1,4,6,5,3,2,7,Unknown,Risk,Growth,Wealth Creation,Unknown,Monthly,20%-30%,Unknown,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Male,28,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Monthly,20%-30%,Unknown,Education,Dividend,Better Returns,Safe Investment,Unknown,Newspapers and Magazines,25-34
Unknown,30,Unknown,3,4,7,5,1,2,6,Yes,Risk,Unknown,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Unknown,21,No,2,1,3,6,4,1,7,No,Returns,Unknown,Unknown,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Risk Free,Internet,18-24
Female,31,Yes,2,3,6,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Unknown,Unknown,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Female,30,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,3-5 years,Unknown,10%-20%,Unknown,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Newspapers and Magazines,25-34
Female,22,No,1,2,3,4,5,6,6,No,Returns,Capital Appreciation,Savings for Future,1-3 years,Weekly,20%-30%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Unknown,18-24
Male,28,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,25-34
Female,28,Yes,2,3,7,5,4,1,6,Yes,Returns,Unknown,Wealth Creation,1-3 years,Monthly,Unknown,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,25-34
Male,25,Yes,3,4,6,5,1,1,7,Yes,Risk,Unknown,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Female,24,Yes,2,3,7,4,5,1,6,Yes,Returns,Unknown,Wealth Creation,Unknown,Monthly,Unknown,Unknown,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Unknown,18-24
Female,27,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Unknown,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,25-34
Male,28,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Unknown,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Unknown,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,25-34
Female,21,Yes,2,4,5,6,3,1,7,Yes,Unknown,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,18-24
Male,28,Yes,4,3,5,7,2,1,6,Unknown,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,Unknown,Fixed Deposits,Retirement Plan,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Female,32,Yes,3,4,7,5,1,2,6,Yes,Unknown,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Female,28,Unknown,3,6,4,2,5,1,7,Yes,Returns,Unknown,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Financial Consultants,25-34
Male,32,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,1-3 years,Monthly,20%-30%,Unknown,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,25-34
Male,30,Yes,2,3,6,4,1,5,6,Yes,Returns,Capital Appreciation,Unknown,1-3 years,Monthly,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,25-34
Female,28,No,2,1,3,6,4,1,7,No,Unknown,Income,Unknown,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,25-34
Male,25,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Unknown,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Unknown,Fixed Returns,Financial Consultants,25-34
Male,29,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,25-34
Male,33,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,20%-30%,Equity,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,25-34
Female,21,Yes,4,3,2,1,4,1,7,No,Locking Period,Capital Appreciation,Unknown,More than 5 years,Unknown,Unknown,Mutual Fund,Unknown,Dividend,Better Returns,Unknown,High Interest Rates,Financial Consultants,18-24
Female,25,Unknown,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,25-34
Female,30,Yes,3,6,4,5,5,1,7,Yes,Returns,Unknown,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Financial Consultants,25-34
Unknown,36,Yes,1,2,5,5,7,1,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,35-44
Female,23,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Unknown,Capital Appreciation,Better Returns,Unknown,Risk Free,Newspapers and Magazines,18-24
Female,28,Yes,4,3,2,1,5,6,6,No,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Health Care,Dividend,Better Returns,Unknown,High Interest Rates,Financial Consultants,25-34
Male,28,Yes,2,1,3,7,6,4,5,Yes,Returns,Unknown,Wealth Creation,Less than 1 year,Daily,Unknown,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,25-34
Female,29,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,25-34
Female,24,No,7,5,4,6,4,1,2,No,Risk,Unknown,Wealth Creation,1-3 years,Unknown,30%-40%,Mutual Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,18-24
