gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Male,28.0,Yes,1.0,3.0,7.0,4.0,5.0,2.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
,19.0,No,,,3.0,4.0,,6.0,7.0,,Returns,Capital Appreciation,Savings for Future,less than 1 year_err,Daily,30%-40%,,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet
Male,29.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,27.0,nan_err,5.0,4.0,7.0,6.0,1.0,2.0,3.0,Yes,,Growth,,3-5 years,Weekly,30%-40%,,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,22.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,,Growth,Savings for Future,1-3 years,Monthly,10%-20%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,21.0,Yes,4.0,3.0,2.0,1.0,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Equity,Health Care,Dividend,,Safe Investment,High Interest Rates,Financial Consultants
Female,27.0,Yes,2.0,4.0,5.0,,3.0,1.0,7.0,Yes,Risk,capital appreciation_err,Wealth Creation,3-5 years,Weekly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,29.0,Yes,3.0,2.0,7.0,5.0,4.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Male,29.0,Yes,1.0,4.0,6.0,5.0,3.0,2.0,7.0,,Risk,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,
Female,30.0,Yes,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,29.0,,1.0,3.0,7.0,4.0,5.0,2.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,25.0,Yes,,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,nan_err,Daily,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Female,436.44818400172704,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,32.0,Yes,3.0,,4.0,2.0,5.0,1.0,,,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,,Television
Male,25.0,Yes,5.0,4.0,7.0,6.0,1.0,,3.0,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,30%-40%,Equity,Health Care,Capital Appreciation,,Safe Investment,Fixed Returns,Financial Consultants
Female,25.0,Yes,3.0,2.0,7.0,5.0,4.0,1.0,,Yes,Risk,Growth,Wealth Creation,3-5 years,Weekly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Male,26.0,Yes,2.0,5.0,7.0,6.0,3.0,1.0,4.0,Yes,Risk,capital appreciation_err,Wealth Creation,More than 5 years,monthly_err,20%-30%,Mutual Fund,Retirement Plan,,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,22.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,,Yes,2.0,3.0,6.0,5.0,1.0,4.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,mutual fund_err,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,
Female,26.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,31.0,Yes,38.91517435062281,4.0,6.0,5.0,,2.0,7.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,weekly_err,30%-40%,Equity,Health Care,,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,35.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,,,Risk,Growth,Wealth Creation,More than 5 years,Weekly,20%-30%,Public Provident Fund,Retirement Plan,capital appreciation_err,,Assured Returns,Fixed Returns,Financial Consultants
Male,23.0,Yes,5.0,4.0,7.0,6.0,1.0,2.0,3.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,30%-40%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,
Female,32.0,Yes,38.91517435062281,2.0,5.0,3.0,7.0,6.0,4.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Retirement Plan,,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,28.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,risk_err,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,34.0,Yes,2.0,3.0,,,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,10%-20%,Equity,Health Care,capital appreciation_err,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,30.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,30.0,Yes,,2.0,7.0,5.0,4.0,1.0,,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Male,30.0,Yes,4.0,3.0,33.77904611212656,,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,34.0,Yes,,3.0,7.0,,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,3-5 years,Daily,30%-40%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,32.0,Yes,2.0,5.0,,6.0,3.0,1.0,4.0,Yes,Risk,Capital Appreciation,,1-3 years,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,,Assured Returns,Fixed Returns,Financial Consultants
Male,23.0,Yes,3.0,4.0,6.0,,1.0,2.0,,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years_err,Daily,10%-20%,Equity,,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Female,33.0,Yes,5.0,4.0,3.0,2.0,7.0,1.0,,Yes,Returns,Income,returns_err,3-5 years,daily_err,30%-40%,Fixed Deposits,,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,23.0,Yes,2.0,3.0,6.0,4.0,1.0,5.0,7.0,Yes,Returns,Capital Appreciation,Returns,3-5 years,Monthly,30%-40%,Mutual Fund,Education,Dividend,Better Returns,safe investment_err,Risk Free,Newspapers and Magazines
Male,28.0,Yes,2.0,4.0,7.0,5.0,,3.0,,yes_err,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,,Risk Free,Newspapers and Magazines
Female,21.0,No,7.0,5.0,4.0,6.0,3.0,1.0,2.0,No,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Liquidity,,Safe Investment,Risk Free,Internet
Female,436.44818400172704,Yes,3.0,6.0,4.0,2.0,5.0,,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Equity,,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Female,33.0,Yes,2.0,4.0,7.0,6.0,3.0,1.0,5.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,31.0,Yes,2.0,4.0,7.0,6.0,3.0,,5.0,Yes,Returns,Capital Appreciation,,3-5 years,,20%-30%,Fixed Deposits,Retirement Plan,capital appreciation_err,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,,Yes,2.0,3.0,7.0,5.0,45.92673072281554,1.0,6.0,Yes,,Capital Appreciation,Wealth Creation,1-3 years,,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,,Risk Free,Newspapers and Magazines
Male,27.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,,30%-40%,,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Female,26.0,Yes,3.0,6.0,,,5.0,1.0,7.0,Yes,,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Equity,Retirement Plan,capital appreciation_err,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Male,28.0,Yes,,5.0,7.0,6.0,3.0,1.0,,Yes,,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,fund diversification_err,Assured Returns,Fixed Returns,
,25.0,Yes,2.0,,7.0,,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,27.0,Yes,2.0,3.0,,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,29.0,Yes,1.0,4.0,6.0,69.93907056742995,3.0,2.0,7.0,Yes,Risk,,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,20.0,No,1.0,2.0,3.0,4.0,5.0,6.0,7.0,No,Returns,Capital Appreciation,Savings for Future,Less than 1 year,Weekly,10%-20%_err,Mutual Fund,,Dividend,Better Returns,Safe Investment,Risk Free,Internet
Female,25.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,,Yes,Returns,Capital Appreciation,wealth creation_err,More than 5 years,Weekly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Male,27.0,Yes,1.0,4.0,6.0,5.0,3.0,,7.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,Monthly,30%-40%,Fixed Deposits,Health Care,,,Assured Returns,Fixed Returns,
Male,33.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,Savings for Future,More than 5 years,Monthly,10%-20%,,Retirement Plan,Capital Appreciation,nan_err,Safe Investment,Fixed Returns,Television
Female,34.0,Yes,2.0,4.0,7.0,6.0,3.0,1.0,5.0,Yes,,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,38.0,Yes,2.0,4.0,7.0,5.0,,1.0,6.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,,Assured Returns,Risk Free,Financial Consultants
Male,22.0,Yes,38.91517435062281,3.0,7.0,4.0,,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,,Risk Free,Newspapers and Magazines
Male,25.0,Yes,2.0,4.0,,5.0,1.0,3.0,6.0,Yes,,Capital Appreciation,Wealth Creation,,Daily,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
male_err,,Yes,3.0,4.0,,5.0,2.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,,Assured Returns,Risk Free,Financial Consultants
Female,436.44818400172704,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,,Newspapers and Magazines
Male,18.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,,Assured Returns,Risk Free,Newspapers and Magazines
,23.0,Yes,2.0,4.0,5.0,6.0,3.0,1.0,7.0,yes_err,Risk,Capital Appreciation,,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,25.0,Yes,2.0,1.0,33.77904611212656,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet
,29.0,Yes,,3.0,33.77904611212656,7.0,2.0,1.0,6.0,Yes,Returns,,Wealth Creation,More than 5 years,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,28.0,nan_err,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television
Male,26.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,7.0,Yes,Returns,,Wealth Creation,Less than 1 year,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television
Male,32.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television
Male,436.44818400172704,Yes,2.0,3.0,6.0,4.0,,5.0,7.0,Yes,,Capital Appreciation,Returns,1-3 years,Weekly,20%-30%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines
Male,23.0,Yes,2.0,3.0,6.0,4.0,1.0,5.0,7.0,Yes,Returns,Capital Appreciation,Returns,,Weekly,30%-40%,Equity,Education,,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines
Male,33.0,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Female,19.0,No,1.0,2.0,3.0,4.0,5.0,12.985754034654704,7.0,No,Returns,Capital Appreciation,Savings for Future,,Daily,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet
Female,27.0,,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Mutual Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,28.0,Yes,3.0,4.0,6.0,5.0,2.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,35.0,Yes,3.0,,7.0,5.0,1.0,2.0,6.0,,Risk,Growth,Wealth Creation,Less than 1 year,,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,22.0,Yes,2.0,,33.77904611212656,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,3-5 years,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet
Female,34.0,Yes,3.0,46.38680213244817,7.0,5.0,1.0,,6.0,Yes,Risk,Growth,,3-5 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,,,Assured Returns,Fixed Returns,Financial Consultants
Male,,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,38.0,Yes,38.91517435062281,4.0,7.0,5.0,3.0,1.0,6.0,Yes,,,Savings for Future,,Daily,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Female,,No,38.91517435062281,1.0,3.0,6.0,4.0,5.0,,No,Returns,Income,Wealth Creation,3-5 years,Weekly,30%-40%,Equity,retirement plan_err,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet
Female,32.0,Yes,2.0,4.0,7.0,6.0,3.0,1.0,5.0,Yes,,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,29.0,Yes,3.0,4.0,6.0,,1.0,2.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,33.0,Yes,2.0,,7.0,5.0,3.0,12.985754034654704,6.0,Yes,risk_err,Growth,Savings for Future,1-3 years,Daily,10%-20%,Fixed Deposits,Retirement Plan,nan_err,Better Returns,Assured Returns,Risk Free,Financial Consultants
,27.0,Yes,2.0,3.0,7.0,69.93907056742995,4.0,1.0,6.0,Yes,,Capital Appreciation,,1-3 years,Daily,30%-40%,Public Provident Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,33.0,Yes,2.0,4.0,7.0,6.0,3.0,1.0,5.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,,Capital Appreciation,better returns_err,Assured Returns,Fixed Returns,Financial Consultants
,436.44818400172704,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,3-5 years,Daily,10%-20%,Equity,Health Care,Capital Appreciation,,Safe Investment,Fixed Returns,Television
Female,27.0,Yes,2.0,4.0,5.0,,,1.0,7.0,Yes,,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,,Public Provident Fund,Health Care,,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,26.0,,3.0,2.0,7.0,5.0,,,6.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,Monthly,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Female,29.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,62.468388501833545,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,29.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Female,30.0,Yes,3.0,,7.0,5.0,1.0,2.0,6.0,yes_err,Risk,Growth,Wealth Creation,More than 5 years,Monthly,10%-20%,,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,28.0,Yes,2.0,,7.0,5.0,,1.0,6.0,Yes,Returns,Capital Appreciation,,Less than 1 year,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,32.0,Yes,1.0,3.0,7.0,4.0,5.0,2.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years_err,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,
Male,30.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,Equity,,Capital Appreciation,Better Returns,assured returns_err,Risk Free,Newspapers and Magazines
Female,34.0,Yes,38.91517435062281,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,,30%-40%,Public Provident Fund,Retirement Plan,capital appreciation_err,,Assured Returns,Risk Free,Financial Consultants
Female,18.0,No,1.0,2.0,3.0,,5.0,6.0,7.0,No,Returns,Capital Appreciation,Savings for Future,Less than 1 year,Daily,10%-20%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet
Male,22.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,wealth creation_err,3-5 years,Daily,,Equity,,,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,29.0,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,436.44818400172704,Yes,2.0,1.0,33.77904611212656,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,3-5 years,,10%-20%,Public Provident Fund,,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,internet_err
,29.0,Yes,4.0,5.0,,,7.0,3.0,6.0,No,Returns,Growth,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television
Male,31.0,Yes,2.0,46.38680213244817,7.0,6.0,4.0,1.0,,Yes,Risk,Growth,Savings for Future,1-3 years,monthly_err,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Female,34.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,capital appreciation_err,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,33.0,,38.91517435062281,2.0,5.0,3.0,7.0,6.0,4.0,yes_err,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,27.0,Yes,5.0,4.0,7.0,6.0,,2.0,3.0,Yes,Risk,Growth,Savings for Future,,Daily,,Equity,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,25.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,,,30%-40%,Mutual Fund,Health Care,Liquidity,,Assured Returns,Risk Free,Financial Consultants
Male,436.44818400172704,Yes,4.0,5.0,1.0,2.0,7.0,3.0,6.0,No,,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television
female_err,30.0,Yes,38.91517435062281,4.0,7.0,,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,23.0,No,2.0,1.0,3.0,6.0,4.0,5.0,7.0,No,Returns,Income,Wealth Creation,3-5 years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet
Male,26.0,Yes,3.0,4.0,6.0,5.0,,2.0,7.0,Yes,Risk,,Wealth Creation,3-5 years,Monthly,10%-20%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,33.0,,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Fixed Deposits,retirement plan_err,Capital Appreciation,Better Returns,,Risk Free,Financial Consultants
Male,29.0,Yes,38.91517435062281,4.0,7.0,,1.0,12.985754034654704,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,weekly_err,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
male_err,27.0,Yes,5.0,4.0,7.0,6.0,1.0,2.0,3.0,Yes,Risk,Growth,,1-3 years,Weekly,10%-20%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,28.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,436.44818400172704,Yes,2.0,3.0,6.0,4.0,1.0,5.0,7.0,Yes,Returns,capital appreciation_err,Returns,Less than 1 year,Weekly,20%-30%,Equity,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines
Female,22.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,30%-40%,Mutual Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
female_err,34.0,Yes,2.0,4.0,7.0,,45.92673072281554,1.0,5.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
